iter	RMSE
0	0.3949143432
1	0.3907467778
2	0.3866853842
3	0.3824659758
4	0.3784297708
5	0.3746558172
6	0.3707075887
7	0.3667634967
8	0.3630259482
9	0.358981627
10	0.3555354253
11	0.3519177927
12	0.3482665251
13	0.3446420131
14	0.3411045364
15	0.3375072703
16	0.33408947
17	0.3308749158
18	0.327456715
19	0.3245162467
20	0.3214390697
21	0.3183826254
22	0.3154733979
23	0.3123067892
24	0.3092956561
25	0.3064390623
26	0.3035708661
27	0.3007639557
28	0.2980812315
29	0.2951712127
30	0.2925583442
31	0.289943023
32	0.2874484198
33	0.2851527345
34	0.2825283432
35	0.2799157151
36	0.2774004671
37	0.2749592347
38	0.2727344479
39	0.2705359749
40	0.2682437414
41	0.2658405729
42	0.2636894783
43	0.2614181543
44	0.259106293
45	0.2569578992
46	0.2548955955
47	0.2530556856
48	0.2509597436
49	0.2489274785
50	0.2470573729
51	0.2450928195
52	0.243159702
53	0.2413358721
54	0.2395633337
55	0.237959861
56	0.2362939825
57	0.2344433903
58	0.2328657652
59	0.2313053267
60	0.229753948
61	0.2283950863
62	0.226835684
63	0.225325363
64	0.2238748068
65	0.2222772857
66	0.2207251141
67	0.2193771659
68	0.2179201217
69	0.2164672613
70	0.2150240615
71	0.213711365
72	0.2123122003
73	0.2109243907
74	0.2097111536
75	0.2082975794
76	0.206971069
77	0.2057113031
78	0.2044088841
79	0.2032159407
80	0.2020244214
81	0.2008088644
82	0.1996526391
83	0.1983580287
84	0.1971999208
85	0.1960851287
86	0.1950744447
87	0.1941163637
88	0.1929728543
89	0.1920002435
90	0.190952557
91	0.1897257369
92	0.1887433024
93	0.1877843585
94	0.1869168665
95	0.1859186988
96	0.1850150307
97	0.1841634126
98	0.1833498642
99	0.1824350999
100	0.1814977822
101	0.1805986224
102	0.1797902069
103	0.1789471796
104	0.1779791961
105	0.1771523455
106	0.1763025808
107	0.175473484
108	0.1746444759
109	0.1738999347
110	0.1730648516
111	0.1722394368
112	0.1715182469
113	0.1708822767
114	0.1702068529
115	0.1694682833
116	0.1687576937
117	0.1680759747
118	0.1673954929
119	0.1667635059
120	0.1661151254
121	0.1655022026
122	0.1647995651
123	0.1642080712
124	0.1636133773
125	0.163109325
126	0.1625278989
127	0.1618571534
128	0.1612989605
129	0.160708401
130	0.1601451054
131	0.1595678732
132	0.1590529975
133	0.1584120238
134	0.1579252966
135	0.1574579678
136	0.1569314004
137	0.1564653385
138	0.1559507928
139	0.1554015865
140	0.1550326825
141	0.1545573763
142	0.1541165605
143	0.1536582117
144	0.1531324402
145	0.152639774
146	0.1521943501
147	0.1516612772
148	0.1512357213
149	0.1508321115
150	0.1503764158
151	0.1499179344
152	0.149479609
153	0.1489668762
154	0.1486004965
155	0.1482007807
156	0.1476729087
157	0.1472047976
158	0.1468219608
159	0.1464597977
160	0.1461407759
161	0.1458224332
162	0.1454607899
163	0.145125511
164	0.1448103287
165	0.1443986183
166	0.1440726513
167	0.1437247003
168	0.1433353592
169	0.1429850023
170	0.1426092614
171	0.1422566423
172	0.1418491572
173	0.1414317751
174	0.1410653642
175	0.1407121089
176	0.1403034764
177	0.1398811459
178	0.1395381031
179	0.1391477558
180	0.1387564735
181	0.1384582385
182	0.1382015267
183	0.1378711721
184	0.137594819
185	0.1373293597
186	0.1370171502
187	0.1367199737
188	0.1363916896
189	0.1360792589
190	0.135913777
191	0.1356756682
192	0.1353596019
193	0.1350165395
194	0.1346999727
195	0.1343917828
196	0.134086381
197	0.1338823011
198	0.13357328
199	0.1332990893
200	0.1329621945
201	0.1327439982
202	0.1324295207
203	0.1321333976
204	0.1318641965
205	0.1316322968
206	0.1313529533
207	0.1311410951
208	0.1308731026
209	0.1306009368
210	0.1302847707
211	0.1300292168
212	0.1297433736
213	0.1294908237
214	0.12923826
215	0.1289767499
216	0.1286950458
217	0.1285390236
218	0.1283522178
219	0.1280873666
220	0.1278183632
221	0.1276158012
222	0.1274720656
223	0.1272510044
224	0.1270675913
225	0.1268310625
226	0.1266704483
227	0.1264808629
228	0.1262565113
229	0.1260828153
230	0.1258361024
231	0.1256744136
232	0.1254750239
233	0.1252527327
234	0.1250452823
235	0.1248433208
236	0.1246783696
237	0.1244970212
238	0.1242596997
239	0.1241595488
240	0.1239638077
241	0.123818642
242	0.1236550653
243	0.1234956778
244	0.1232936426
245	0.1231425022
246	0.1229802864
247	0.1228095751
248	0.1226302116
249	0.1224904729
250	0.1223235474
251	0.1221433988
252	0.1220003735
253	0.1218329635
254	0.1216217121
255	0.1214383696
256	0.1212878674
257	0.12103924
258	0.1208753498
259	0.1206687063
260	0.1205541744
261	0.120445957
262	0.1202782856
263	0.1201555728
264	0.1200024233
265	0.1198189221
266	0.1196572476
267	0.1194726905
268	0.1193488079
269	0.1192246857
270	0.1190607713
271	0.1188714828
272	0.1187179257
273	0.1185556321
274	0.118382783
275	0.1183517554
276	0.1182045818
277	0.1180668787
278	0.1178728336
279	0.1177407561
280	0.1176166702
281	0.1174301818
282	0.1172627731
283	0.1171242172
