iter	Passed	Remaining
0	2	16944
1	4	15181
2	6	14740
3	8	14305
4	10	14192
5	12	14063
6	14	14030
7	17	14110
8	19	14061
9	21	14118
10	23	14118
11	25	14064
12	27	14060
13	29	14104
14	31	14079
15	34	14075
16	36	14066
17	38	14007
18	40	14004
19	42	13947
20	44	13966
21	46	13989
22	48	14018
23	51	14054
24	53	14087
25	55	14110
26	57	14092
27	59	14105
28	61	14071
29	63	14057
30	65	14027
31	68	14032
32	70	14050
33	72	14028
34	74	14013
35	76	14033
36	78	14015
37	80	14011
38	83	14035
39	85	14025
40	87	14010
41	89	14014
42	91	14009
43	93	13984
44	95	13957
45	97	13948
46	99	13945
47	101	13934
48	103	13923
49	105	13908
50	107	13894
51	110	13902
52	112	13888
53	114	13900
54	116	13915
55	118	13893
56	120	13889
57	122	13881
58	124	13873
59	126	13873
60	128	13866
61	130	13822
62	132	13818
63	134	13821
64	136	13814
65	138	13788
66	140	13772
67	142	13768
68	144	13749
69	146	13741
70	148	13740
71	151	13746
72	153	13737
73	155	13732
74	157	13727
75	159	13707
76	161	13705
77	163	13693
78	165	13689
79	167	13679
80	169	13687
81	171	13678
82	173	13679
83	175	13679
84	177	13677
85	179	13678
86	181	13671
87	184	13664
88	186	13660
89	188	13666
90	190	13658
91	192	13657
92	194	13655
93	196	13661
94	198	13662
95	200	13660
96	202	13656
97	204	13646
98	207	13646
99	209	13641
100	211	13636
101	213	13628
102	215	13625
103	217	13632
104	219	13633
105	221	13640
106	224	13641
107	226	13634
108	228	13627
109	230	13621
110	232	13611
111	234	13609
112	236	13604
113	238	13606
114	240	13597
115	242	13590
116	244	13593
117	246	13591
118	248	13584
119	250	13588
120	252	13594
121	255	13589
122	257	13590
123	259	13581
124	261	13576
125	263	13570
126	265	13570
127	267	13564
128	269	13561
129	271	13558
130	273	13559
131	275	13553
132	277	13554
133	279	13553
134	282	13558
135	284	13548
136	286	13544
137	288	13536
138	290	13530
139	292	13528
140	294	13526
141	296	13523
142	298	13524
143	300	13516
144	302	13508
145	304	13503
146	306	13498
147	308	13492
148	310	13489
149	312	13487
150	314	13483
151	316	13484
